                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-groups-2-1-3 4
Date & Time:     4/1/2019 12:00:20 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 4 ,N1034   , 259 ,226.87,11
 4 ,N1034   , 259.5 ,227.25,11
 4 ,N1034   , 260 ,227.83,10
 4 ,N1034   , 260.5 ,228.55,11
 4 ,N1034   , 261 ,229.04,11
 4 ,N1034   , 261.5 ,229.02,11
 4 ,N1034   , 262 ,229.68,12
 4 ,N1034   , 262.5 ,229.46,13
 4 ,N1034   , 263 ,229.97,11
 4 ,N1034   , 263.5 ,230.65,13
 4 ,N1034   , 264 ,230.76,13
 4 ,N1034   , 264.5 ,231.51,12
 4 ,N1034   , 265 ,232.01,11
 4 ,N1034   , 265.5 ,232.34,13
 4 ,N1034   , 266 ,232.56,11
 4 ,N1034   , 266.5 ,233.04,14
 4 ,N1034   , 267 ,233.03,11
 4 ,N1034   , 267.5 ,233.68,13
 4 ,N1034   , 268 ,233.79,13
 4 ,N1034   , 268.5 ,234.19,12
 4 ,N1034   , 269 ,234.46,13
 4 ,N1034   , 269.5 ,234.97,13
 4 ,N1034   , 270 ,235.32,14
 4 ,N1034   , 270.5 ,235.54,16
 4 ,N1034   , 271 ,235.70,15
 4 ,N1034   , 271.5 ,236.46,14
 4 ,N1034   , 272 ,236.64,17
 4 ,N1034   , 272.5 ,236.76,14
 4 ,N1034   , 273 ,237.17,16
 4 ,N1034   , 273.5 ,237.78,14
 4 ,N1034   , 274 ,238.19,17
 4 ,N1034   , 274.5 ,238.79,14
 4 ,N1034   , 275 ,238.86,17
 4 ,N1034   , 275.5 ,239.24,16
 4 ,N1034   , 276 ,239.49,17
 4 ,N1034   , 276.5 ,240.00,17
 4 ,N1034   , 277 ,240.33,15
 4 ,N1034   , 277.5 ,240.55,17
 4 ,N1034   , 278 ,241.04,16
 4 ,N1034   , 278.5 ,241.36,19
 4 ,N1034   , 279 ,241.90,17
 4 ,N1034   , 279.5 ,242.60,19
 4 ,N1034   , 280 ,243.07,19
 4 ,N1034   , 280.5 ,243.05,19
 4 ,N1034   , 281 ,243.36,19
 4 ,N1034   , 281.5 ,243.58,19
 4 ,N1034   , 282 ,243.72,20
 4 ,N1034   , 282.5 ,243.81,20
 4 ,N1034   , 283 ,244.54,20
 4 ,N1034   , 283.5 ,244.36,20
 4 ,N1034   , 284 ,245.24,20
 4 ,N1034   , 284.5 ,245.83,21
 4 ,N1034   , 285 ,246.88,23
 4 ,N1034   , 285.5 ,247.59,24
 4 ,N1034   , 286 ,248.73,25
 4 ,N1034   , 286.5 ,248.82,27
 4 ,N1034   , 287 ,249.21,25
 4 ,N1034   , 287.5 ,249.47,24
 4 ,N1034   , 288 ,250.32,27
 4 ,N1034   , 288.5 ,249.88,24
 4 ,N1034   , 289 ,249.92,26
 4 ,N1034   , 289.5 ,249.95,26
 4 ,N1034   , 290 ,249.63,25
 4 ,N1034   , 290.5 ,249.42,26
 4 ,N1034   , 291 ,249.95,25
 4 ,N1034   , 291.5 ,249.96,25
 4 ,N1034   , 292 ,249.31,24
 4 ,N1034   , 292.5 ,249.54,24
 4 ,N1034   , 293 ,250.03,26
 4 ,N1034   , 293.5 ,250.02,24
 4 ,N1034   , 294 ,250.01,27
 4 ,N1034   , 294.5 ,249.67,24
